participant,IMOT_1,IMOT_2,IMOT_3,IMOT_4,RIS_1,RIS_2,RIS_3,RIS_4,RIS_5,RIS_6,imotris_F1_score,imotris_F2_Score,imotris_score,correct_burger_apprentissage,correct_burger_difficile,correct_burger_difficile_assistance,correct_burger_facile,correct_burger_facile_assistance,total_correct_burger_apprentissage,total_correct_burger_difficile,total_correct_burger_difficile_assistance,total_correct_burger_facile,total_correct_burger_facile_assistance,score_sa,score_aa,ATI_1,ATI_2,ATI_3,ATI_4,ATI_5,ATI_6,ATI_7,ATI_8,ATI_9,ati_score,APTT_1,APTT_2,APTT_3,APTT_4,APTT_5,APTT_6,aptt_score
d8ytl,0,4,0,4,4,4,4,4,4,4,3.2,4,3.6,1,0.2,0.8,0.9,0.9,1,0.8833333333333333,0.95,1,0.9833333333333334,0.55,0.8500000000000001,4,4,1,4,4,1,4,1,4,3,3,3,3,1,3,3,2.6666666666666665
pta2x,3,1,1,1,0,4,3,2,4,1,3.2,1,2.1,1,0.7,1,1,0.9,1,0.9666666666666667,1,1,0.9833333333333334,0.85,0.95,3,3,4,3,3,1,3,1,3,2.6666666666666665,3,1,4,3,3,3,2.8333333333333335
l10om,3,3,0,1,3,3,3,4,3,2,3.2,2,2.6,0.5,0,0.7,0,0.7,0.7333333333333333,0.26666666666666666,0.9166666666666666,0.5333333333333333,0.95,0,0.7,3,4,3,3,4,1,1,1,3,2.5555555555555554,4,3,2,2,2,3,2.6666666666666665
o7lg2,3,0,1,0,0,3,3,3,3,0,3,0,1.5,1,0.7,1,0.9,0.8,1,0.9666666666666667,1,0.9666666666666667,0.9666666666666667,0.8,0.9,4,4,2,3,4,3,3,3,3,3.2222222222222223,3,3,3,3,2,3,2.8333333333333335
bvcd7,1,1,1,1,2,3,2,3,3,1,2.4,1,1.7,0.9,0.3,0.7,0.8,0.8,0.9833333333333334,0.8666666666666667,0.9166666666666666,0.95,0.95,0.55,0.75,1,3,1,2,2,2,1,1,3,1.7777777777777777,3,1,3,3,2,3,2.5
6hbl7,1,1,0,1,1,2,1,2,0,1,1.2,1,1.1,1,0.9,0.9,1,0.9,1,1,0.95,1,0.9833333333333334,0.95,0.9,3,1,0,1,1,1,1,1,1,1.1111111111111112,1,1,3,1,1,1,1.3333333333333333
j4rs5,3,3,0,3,3,3,3,4,4,2,3.4,2.6666666666666665,3.033333333333333,0.9,0,0.5,0.8,0.9,0.9833333333333334,0.7833333333333333,0.9666666666666667,0.9833333333333334,0.9833333333333334,0.4,0.7,1,3,2,2,3,1,3,1,4,2.2222222222222223,4,3,3,3,3,3,3.1666666666666665
gfkrr,2,1,1,1,2,2,2,3,3,1,2.4,1,1.7,0.7,0,0.39999999999999997,0.10000000000000002,0.6,0.95,0.35,0.9333333333333333,0.8,0.9333333333333333,0.05000000000000001,0.5,2,3,3,4,3,2,3,1,3,2.6666666666666665,3,2,3,2,2,2,2.3333333333333335
wjg1c,4,1,1,1,4,4,4,4,4,0,4,0.6666666666666666,2.3333333333333335,1,0.6,0.9,1,1,1,0.9666666666666667,1,1,1,0.8,0.95,5,4,5,4,3,3,4,4,4,4,3,2,3,3,3,3,2.8333333333333335
54dq5,4,4,1,3,3,3,3,3,3,3,3.2,3.3333333333333335,3.2666666666666666,0.9,0.4,0.7,0.9,0.8,0.9666666666666667,0.8166666666666667,0.9166666666666666,0.9666666666666667,0.95,0.65,0.75,4,4,2,3,3,2,3,2,3,2.888888888888889,3,3,3,3,3,3,3
3dsrk,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0.8,0.6,1,1,1,0.95,0.9333333333333333,1,1,0.9,0.8,5,5,4,5,4,3,3,4,4,4.111111111111111,3,3,3,2,3,2,2.6666666666666665
mevl8,2,2,1,2,2,3,2,3,3,2,2.6,2,2.3,0.9,0.6,1,0.9,0.9,0.9833333333333334,0.9333333333333333,1,0.9833333333333334,0.9833333333333334,0.75,0.95,5,5,0,5,5,5,5,4,5,4.333333333333333,3,3,4,3,2,2,2.8333333333333335
bfsmz,3,1,1,3,3,4,4,3,4,0,3.6,1.3333333333333333,2.466666666666667,0.9,0.3,0.9,0.8,1,0.9666666666666667,0.85,0.9833333333333334,0.95,1,0.55,0.95,5,4,2,3,1,1,4,2,5,3,3,1,4,3,3,3,2.8333333333333335
c1hly,3,1,1,1,1,3,3,3,4,1,3.2,1,2.1,0.6,0.7,1,1,0.8,0.9,0.9666666666666667,1,1,0.9666666666666667,0.85,0.9,2,3,1,3,3,0,2,0,2,1.7777777777777777,3,2,4,3,3,4,3.1666666666666665
ve7lc,0,0,0,0,0,2,2,1,0,0,1,0,0.5,1,0.8,0.7,0.8,0.7,1,0.95,0.9,0.9666666666666667,0.9,0.8,0.7,5,3,3,3,3,4,4,3,2,3.3333333333333335,4,2,3,2,3,3,2.8333333333333335
rrduj,0,4,0,2,2,3,4,2,0,4,1.8,3.3333333333333335,2.566666666666667,1,0.2,0.7,1,0.7,1,0.7833333333333333,0.9,1,0.9,0.6,0.7,4,2,3,3,3,2,3,2,3,2.7777777777777777,3,3,3,4,3,3,3.1666666666666665
b0n5s,1,2,1,1,2,3,3,3,4,0,2.8,1,1.9,1,1,1,1,0.9,1,1,1,1,0.9833333333333334,1,0.95,0,0,3,0,0,0,0,0,0,0.3333333333333333,3,4,2,3,3,3,3
y0c33,0,0,1,0,0,2,0,1,0,0,0.6,0,0.3,0.9,0,0.2,1,0.8,0.9833333333333334,0.43333333333333335,0.95,1,0.9666666666666667,0.5,0.5,4,4,2,4,4,5,4,4,4,3.888888888888889,2,2,2,2,2,2,2
4bmvb,1,0,1,1,1,3,3,3,2,0,2.4,0.3333333333333333,1.3666666666666667,1,1,1,0.9,0.8,1,1,1,0.9833333333333334,0.9666666666666667,0.95,0.9,4,5,4,5,4,4,2,3,4,3.888888888888889,3,1,3,2,0,2,1.8333333333333333
mr6aw,3,1,1,2,3,3,3,3,3,2,3,1.6666666666666667,2.3333333333333335,0.9,0.7,0.9,1,1,0.9833333333333334,0.9666666666666667,1,1,1,0.85,0.95,2,3,2,2,3,2,2,2,3,2.3333333333333335,2,3,3,1,2,2,2.1666666666666665
vr2f9,1,1,1,0,1,3,3,3,4,1,2.8,0.6666666666666666,1.7333333333333332,1,0.10000000000000002,1,0.9,1,1,0.6,1,0.9833333333333334,1,0.5,1,3,4,4,3,3,3,3,3,3,3.2222222222222223,3,2,3,2,3,3,2.6666666666666665
hynp2,3,2,1,2,2,3,3,2,1,1,2.4,1.6666666666666667,2.033333333333333,0.9,0.9,1,0.8,1,0.9833333333333334,0.9833333333333334,1,0.9666666666666667,1,0.8500000000000001,1,2,3,1,3,3,2,3,2,4,2.5555555555555554,3,2,3,2,2,3,2.5
oazt4,1,0,1,0,0,2,1,3,1,0,1.6,0,0.8,1,0.6,0.9,1,1,1,0.9333333333333333,0.9833333333333334,1,1,0.8,0.95,3,3,1,4,3,0,3,2,4,2.5555555555555554,3,3,3,3,3,3,3
vzbkx,1,1,1,1,2,3,1,4,3,1,2.4,1,1.7,0.9,0,0.7,0.9,0.8,0.9833333333333334,0.65,0.9166666666666666,1,0.95,0.45,0.75,4,4,5,4,4,5,4,4,4,4.222222222222222,1,1,2,3,2,2,1.8333333333333333
zab3s,3,1,1,1,1,3,2,3,2,1,2.6,1,1.8,1,0.8,1,1,1,1,0.9833333333333334,1,1,1,0.9,1,0,0,1,0,0,0,1,1,1,0.4444444444444444,3,2,2,3,2,3,2.5
yc11q,0,1,1,1,1,1,0,3,3,0,1.4,0.6666666666666666,1.0333333333333332,1,0.3,0.9,1,0.9,1,0.8666666666666667,0.9833333333333334,1,0.9833333333333334,0.65,0.9,5,4,3,5,4,4,3,3,4,3.888888888888889,3,2,3,2,3,2,2.5
jrdov,1,0,0,0,1,2,1,1,3,0,1.6,0,0.8,1,0.7,0.7,1,0.8,1,0.95,0.9666666666666667,1,0.95,0.85,0.75,5,5,3,5,2,5,5,4,4,4.222222222222222,3,1,3,3,2,3,2.5
6lxea,3,1,1,1,3,3,3,0,4,1,2.6,1,1.8,1,0.6,0.9,1,1,1,0.95,0.9833333333333334,1,1,0.8,0.95,2,4,2,1,3,1,1,1,1,1.7777777777777777,3,1,1,3,3,3,2.3333333333333335
wcxlb,2,1,2,2,1,1,2,3,3,1,2.2,1.3333333333333333,1.7666666666666666,1,0.4,0.9,1,0.9,1,0.9166666666666666,1,1,0.9833333333333334,0.7,0.9,1,4,4,3,3,2,3,1,3,2.6666666666666665,3,1,2,3,3,3,2.5
9uhcv,0,2,0,1,0,1,1,3,1,0,1.2,1,1.1,1,0.4,0.8,0.9,0.7,1,0.8666666666666667,0.9333333333333333,0.95,0.9333333333333333,0.65,0.75,1,5,2,4,4,0,1,1,2,2.2222222222222223,2,4,3,1,3,3,2.6666666666666665
txvhr,1,0,0,0,0,0,0,1,1,0,0.6,0,0.3,1,0.6,0.9,1,0.9,1,1,0.9833333333333334,1,0.9833333333333334,0.8,0.9,4,4,3,4,3,4,4,2,3,3.4444444444444446,2,1,3,2,1,3,2
x2p5f,2,0,0,0,0,1,0,0,0,0,0.6,0,0.3,1,0.8,0.8,0.9,0.8,1,1,0.9666666666666667,0.9666666666666667,0.95,0.8500000000000001,0.8,5,5,2,4,4,3,4,4,4,3.888888888888889,3,4,3,3,3,3,3.1666666666666665
r0avk,1,0,0,1,2,2,1,1,2,0,1.4,0.3333333333333333,0.8666666666666666,1,0.2,1,0.9,0.9,1,0.9,1,0.9666666666666667,0.9833333333333334,0.55,0.95,5,5,3,3,4,5,5,4,3,4.111111111111111,0,2,3,1,2,2,1.6666666666666667
fneqr,1,0,1,2,0,2,3,2,3,1,2.2,1,1.6,1,0.8,0.9,0.9,1,1,0.9666666666666667,0.9666666666666667,0.9833333333333334,1,0.8500000000000001,0.95,5,4,4,5,5,3,4,5,3,4.222222222222222,3,3,2,2,3,3,2.6666666666666665
xc43b,2,1,0,0,1,2,1,2,2,0,1.8,0.3333333333333333,1.0666666666666667,1,1,0.9,0.9,1,1,1,0.9833333333333334,0.9666666666666667,1,0.95,0.95,2,4,3,3,3,2,2,1,3,2.5555555555555554,2,2,2,3,3,3,2.5
pvfrh,2,1,3,0,0,0,0,0,0,0,0.4,0.3333333333333333,0.3666666666666667,1,0.5,0.3,0.6,0.5,1,0.9166666666666666,0.9666666666666667,0.9166666666666666,0.8666666666666667,0.55,0.4,4,4,3,4,4,4,3,3,4,3.6666666666666665,3,2,3,2,3,3,2.6666666666666665
m0hgw,0,1,0,0,0,2,0,1,0,0,0.6,0.3333333333333333,0.4666666666666667,0.8,0.20000000000000004,0.7,0.8,0.9,0.9666666666666667,0.8166666666666667,0.9833333333333334,0.95,0.9833333333333334,0.5,0.8,4,5,2,5,5,1,3,1,4,3.3333333333333335,3,3,3,3,3,3,3
zmc3o,2,1,0,0,2,1,2,4,3,0,2.4,0.3333333333333333,1.3666666666666667,1,0.7,0.7,1,1,1,0.9,0.9166666666666666,1,1,0.85,0.85,3,4,4,4,4,4,4,3,4,3.7777777777777777,3,1,3,3,3,3,2.6666666666666665
v0tb5,2,2,1,1,1,2,1,1,2,1,1.6,1.3333333333333333,1.4666666666666668,1,0.8,1,1,1,1,0.9666666666666667,1,1,1,0.9,1,5,5,4,5,5,5,4,4,5,4.666666666666667,3,3,3,3,2,3,2.8333333333333335
yzz3y,1,0,0,1,1,2,3,1,2,0,1.8,0.3333333333333333,1.0666666666666667,0.9,0.4,0.8,1,0.8,0.9833333333333334,0.9166666666666666,0.9833333333333334,1,0.95,0.7,0.8,4,4,3,3,4,4,3,2,4,3.4444444444444446,3,1,4,2,2,1,2.1666666666666665
anjb4,4,0,1,0,1,3,3,3,3,0,3.2,0,1.6,1,1,1,1,0.9,1,1,1,1,0.9833333333333334,1,0.95,5,5,1,5,4,4,5,4,5,4.222222222222222,3,3,4,3,3,4,3.3333333333333335
h0fbl,3,0,1,2,0,3,1,1,3,0,2.2,0.6666666666666666,1.4333333333333333,1,0.9,1,1,0.9,1,0.9833333333333334,1,1,0.9833333333333334,0.95,0.95,3,3,3,3,4,4,4,2,1,3,4,1,3,3,4,4,3.1666666666666665
v83ny,1,0,2,0,0,2,2,2,2,0,1.8,0,0.9,1,0.39999999999999997,0.8,1,1,1,0.9166666666666666,0.9833333333333334,1,1,0.7,0.9,3,3,2,1,2,1,3,1,1,1.8888888888888888,1,2,4,3,1,3,2.3333333333333335
9bwzw,2,1,0,1,0,3,0,3,1,1,1.8,1,1.4,1,0.8,0.8,0.9,0.7,1,1,0.9333333333333333,0.9666666666666667,0.95,0.8500000000000001,0.75,3,3,0,3,2,1,3,2,2,2.111111111111111,3,3,3,3,2,2,2.6666666666666665
ao4j2,1,0,0,0,3,4,3,4,4,0,3.2,0,1.6,1,0.10000000000000002,1,0.9,1,1,0.9,1,0.9833333333333334,1,0.5,1,3,4,4,3,4,2,1,1,3,2.7777777777777777,4,3,4,3,4,4,3.6666666666666665
q3j0q,2,3,0,1,1,3,3,2,3,1,2.6,1.6666666666666667,2.1333333333333333,1,0.3,0.8,0.9,0.7,1,0.8833333333333333,0.9666666666666667,0.9833333333333334,0.9,0.6,0.75,1,3,4,3,3,1,3,1,2,2.3333333333333335,3,2,3,2,2,2,2.3333333333333335
bzl7x,4,3,1,4,3,4,3,4,4,3,3.8,3.3333333333333335,3.5666666666666664,1,0,0.7,0.9,0.7,1,0.7333333333333333,0.9,1,0.9,0.45,0.7,4,4,5,3,3,5,4,2,3,3.6666666666666665,4,2,3,3,3,3,3
fgkm7,2,1,1,3,2,2,3,2,3,1,2.4,1.6666666666666667,2.033333333333333,1,0.4,0.9,0.9,0.9,1,0.8833333333333333,1,0.9833333333333334,0.9833333333333334,0.65,0.9,4,4,1,4,4,3,4,2,4,3.3333333333333335,3,2,3,3,2,3,2.6666666666666665
tds1r,1,0,2,0,0,0,1,2,1,0,1,0,0.5,1,0.7,0.6,0.9,0.8,1,0.9666666666666667,0.9166666666666666,0.9666666666666667,0.95,0.8,0.7,5,4,2,4,0,3,4,3,4,3.2222222222222223,2,1,3,2,3,2,2.1666666666666665
77l87,0,0,2,0,1,0,1,2,0,0,0.6,0,0.3,1,0.8,0.7,0.7,0.8,1,0.9833333333333334,0.9333333333333333,0.95,0.9833333333333334,0.75,0.75,3,3,1,3,3,2,3,2,2,2.4444444444444446,2,2,3,2,2,2,2.1666666666666665
4rxqb,0,0,0,0,0,3,2,0,1,0,1.2,0,0.6,1,1,0.9,1,0.8,1,1,0.9833333333333334,1,0.9666666666666667,1,0.8500000000000001,5,5,4,5,4,5,5,5,4,4.666666666666667,3,1,2,2,3,3,2.3333333333333335
4zeau,1,0,0,0,0,1,1,1,1,1,1,0.3333333333333333,0.6666666666666666,1,1,1,0.9,0.9,1,1,1,0.9833333333333334,0.9833333333333334,0.95,0.95,1,2,1,2,2,1,1,1,1,1.3333333333333333,2,2,4,2,2,4,2.6666666666666665
y5fx3,2,1,1,1,3,3,2,1,2,1,2,1,1.5,1,1,0.7,0.9,1,1,1,0.9833333333333334,0.9833333333333334,1,0.95,0.85,3,3,4,4,4,3,3,2,3,3.2222222222222223,3,3,3,2,3,3,2.8333333333333335
bz352,4,3,1,2,1,3,3,3,3,1,3.2,2,2.6,0.9,0.7,1,1,0.9,0.9833333333333334,0.9666666666666667,1,1,1,0.85,0.95,3,3,5,1,1,1,3,1,2,2.2222222222222223,3,2,4,4,3,4,3.3333333333333335
